"YearStart","LocationAbbr","LocationDesc","Class","Question","Data_Value","QuestionRenamed"
"2019","OH","Ohio","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2012","FL","Florida","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2012","MS","Mississippi","Physical Activity","State provides guidance on policies for school districts or schools on joint-use agreements for physical activity facilities","Yes","State Guidance on Policies for School Activity Facilities"
"2012","US","National","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","2","State-National Alignment on Vegetable Serving Regulations"
"2016","ID","Idaho","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","MD","Maryland","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","ID","Idaho","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2017","CT","Connecticut","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2015","MT","Montana","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2015","NH","New Hampshire","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","MN","Minnesota","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2017","IN","Indiana","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","28.8","Percent of BFHI births"
"2014","NY","New York","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2013","KS","Kansas","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2014","AR","Arkansas","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","18.4","Percent Sec Schools Allowing Soda Purchase"
"2019","OK","Oklahoma","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","22.9","Percent of BFHI births"
"2014","MT","Montana","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","44.6","Percent Sec Schools Allowing Soda Purchase"
"2011","NE","Nebraska","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","MI","Michigan","Fruits and Vegetables","Number of farmers markets per 100,000 residents","3.2","Farmers Market Count"
"2019","WA","Washington","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2015","MN","Minnesota","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2013","SC","South Carolina","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.4","IBCLCs Count"
"2012","MS","Mississippi","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","Yes","State-National Alignment on Fruit Serving  Regulations"
"2019","IN","Indiana","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2018","AK","Alaska","Fruits and Vegetables","Existence of state-level Food Policy Council","Yes","State-Level Food Policy Council"
"2015","FL","Florida","Physical Activity","Percent of U.S. population living within 1/2 mile of a park","39.1","Percent People Living 1/2 Mile of a Park"
"2011","WY","Wyoming","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2018","OH","Ohio","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","16.5","Percent of BFHI births"
"2012","WV","West Virginia","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","34.6","Percent of WIC Farmers Markets"
"2016","NJ","New Jersey","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2019","WV","West Virginia","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2018","IN","Indiana","Breastfeeding","Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities","78","mPINC Score"
"2017","TX","Texas","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2011","VA","Virginia","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2017","ME","Maine","Fruits and Vegetables","Number of farmers markets per 100,000 residents","7.2","Farmers Market Count"
"2012","VT","Vermont","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","36.6","Percent Sec Schools Allowing Sports Drink"
"2012","AZ","Arizona","Physical Activity","State provides guidance on policies for school districts or schools on walking or biking to or from school","Yes","State Guidance on Commuting to School by Walk or Bike"
"2014","AL","Alabama","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","SD","South Dakota","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","DE","Delaware","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2011","AL","Alabama","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","VT","Vermont","Breastfeeding","Number of La Leche League leaders per 1,000 live births","3.0","La Leche Leaders Count"
"2012","OK","Oklahoma","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.0","Percent of BFHI births"
"2015","WI","Wisconsin","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2018","MI","Michigan","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2019","KS","Kansas","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2013","HI","Hawaii","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2013","TN","Tennessee","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","KY","Kentucky","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2018","HI","Hawaii","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2011","DE","Delaware","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","MS","Mississippi","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","5.8","Percent of Sec Schools Offering Salad Bar"
"2017","FL","Florida","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","MI","Michigan","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","54.0","Percent Sec Schools Allowing Sports Drink"
"2016","OH","Ohio","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","CA","California","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","Yes","State-National Alignment on Fruit Serving  Regulations"
"2013","KY","Kentucky","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2014","NJ","New Jersey","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","26.5","Percent of Sec Schools Offering Salad Bar"
"2011","UT","Utah","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2014","KY","Kentucky","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2016","ND","North Dakota","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.2","IBCLCs Count"
"2018","KY","Kentucky","Fruits and Vegetables","Number of local food policy councils in each state","2","Local Food Policy Council Count"
"2019","NH","New Hampshire","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2015","MS","Mississippi","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2019","OH","Ohio","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","MA","Massachusetts","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","5.6","Percent of BFHI births"
"2016","OK","Oklahoma","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","AL","Alabama","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2015","HI","Hawaii","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.6","La Leche Leaders Count"
"2016","DE","Delaware","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2013","NC","North Carolina","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2016","WY","Wyoming","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.7","IBCLCs Count"
"2011","SC","South Carolina","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2017","WA","Washington","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2016","AL","Alabama","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2019","WA","Washington","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2011","MS","Mississippi","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.0","Percent of BFHI births"
"2012","WI","Wisconsin","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","72.5","Percent of Sec Schools Offering Salad Bar"
"2013","ID","Idaho","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2019","WV","West Virginia","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2014","HI","Hawaii","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2019","NH","New Hampshire","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2014","MD","Maryland","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","LA","Louisiana","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2016","HI","Hawaii","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","32.3","Percent of Sec Schools Offering Salad Bar"
"2016","CA","California","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","IL","Illinois","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","30.6","Percent Sec Schools Allowing Soda Purchase"
"2017","WI","Wisconsin","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2016","MT","Montana","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","IL","Illinois","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","10.6","Percent of WIC Farmers Markets"
"2013","FL","Florida","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2014","SC","South Carolina","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.6","La Leche Leaders Count"
"2019","CA","California","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2013","NJ","New Jersey","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2012","RI","Rhode Island","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","17.0","Percent Sec Schools Allowing Sports Drink"
"2012","KS","Kansas","Physical Activity","State provides guidance on policies for school districts or schools on joint-use agreements for physical activity facilities","Yes","State Guidance on Policies for School Activity Facilities"
"2019","NJ","New Jersey","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2011","IL","Illinois","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2016","OR","Oregon","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.2","La Leche Leaders Count"
"2013","TN","Tennessee","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.3","IBCLCs Count"
"2014","IL","Illinois","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","UT","Utah","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","56.1","Percent Sec Schools Allowing Soda Purchase"
"2011","CT","Connecticut","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2015","ID","Idaho","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2015","LA","Louisiana","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.6","La Leche Leaders Count"
"2012","NV","Nevada","Fruits and Vegetables","Number of farmers markets per 100,000 residents","1.5","Farmers Market Count"
"2017","AZ","Arizona","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2014","RI","Rhode Island","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","8.0","Percent Sec Schools Allowing Soda Purchase"
"2018","MN","Minnesota","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2018","FL","Florida","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","17.5","Percent of BFHI births"
"2017","KS","Kansas","Fruits and Vegetables","Number of farmers markets per 100,000 residents","4","Farmers Market Count"
"2014","RI","Rhode Island","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","10.5","Percent of BFHI births"
"2016","AK","Alaska","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2019","GA","Georgia","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","WI","Wisconsin","Physical Activity","State provides guidance on policies for school districts or schools on time spent in moderate-to-vigorous intensity physical activity during physical education class","No","State Guidance on Policies for Time Spent in Activity During PE Class"
"2011","MA","Massachusetts","Breastfeeding","Number of La Leche League leaders per 1,000 live births","2.0","La Leche Leaders Count"
"2015","RI","Rhode Island","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","NV","Nevada","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","1.7","IBCLCs Count"
"2013","UT","Utah","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2013","ID","Idaho","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2014","NM","New Mexico","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2016","NE","Nebraska","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2019","ND","North Dakota","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","CT","Connecticut","Physical Activity","State provides guidance on policies for school districts or schools on recess","Yes","State Guidance on Policies for School Recess"
"2013","NY","New York","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2019","ID","Idaho","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2011","NH","New Hampshire","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2017","NM","New Mexico","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","70.0","Percent of WIC Farmers Markets"
"2011","DE","Delaware","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.4","La Leche Leaders Count"
"2018","US","National","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","0","State-National Alignment on Restricting Media Age >2 yrs"
"2014","NY","New York","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2018","WV","West Virginia","Fruits and Vegetables","Number of local food policy councils in each state","0","Local Food Policy Council Count"
"2016","CT","Connecticut","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","47.0","Percent of BFHI births"
"2018","NJ","New Jersey","Breastfeeding","Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities","80","mPINC Score"
"2012","FL","Florida","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.9","La Leche Leaders Count"
"2017","TN","Tennessee","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","3.9","Percent of WIC Farmers Markets"
"2014","MN","Minnesota","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","8.2","Percent of BFHI births"
"2014","TN","Tennessee","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.2","IBCLCs Count"
"2012","UT","Utah","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2014","IA","Iowa","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.7","IBCLCs Count"
"2018","WI","Wisconsin","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2015","ND","North Dakota","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2018","NE","Nebraska","Fruits and Vegetables","Existence of state-level Food Policy Council","Yes","State-Level Food Policy Council"
"2015","CT","Connecticut","Breastfeeding","Number of La Leche League leaders per 1,000 live births","2.0","La Leche Leaders Count"
"2012","CA","California","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","NV","Nevada","Fruits and Vegetables","Existence of state-level Food Policy Council","Yes","State-Level Food Policy Council"
"2017","MT","Montana","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2018","WI","Wisconsin","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2018","UT","Utah","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","IA","Iowa","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2012","MN","Minnesota","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","4.3","IBCLCs Count"
"2011","MD","Maryland","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","AK","Alaska","Physical Activity","State provides guidance on policies for school districts or schools on recess","Yes","State Guidance on Policies for School Recess"
"2014","ND","North Dakota","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","2.0","Percent of BFHI births"
"2014","KS","Kansas","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2014","NJ","New Jersey","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.5","La Leche Leaders Count"
"2018","OH","Ohio","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","OR","Oregon","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2014","TN","Tennessee","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","36.4","Percent of Sec Schools Offering Salad Bar"
"2011","FL","Florida","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","2.2","Percent of BFHI births"
"2015","NC","North Carolina","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","NV","Nevada","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2012","UT","Utah","Physical Activity","State provides guidance on policies for school districts or schools on joint-use agreements for physical activity facilities","No","State Guidance on Policies for School Activity Facilities"
"2014","OK","Oklahoma","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2016","AR","Arkansas","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.4","La Leche Leaders Count"
"2015","HI","Hawaii","Physical Activity","Percent of U.S. population living within 1/2 mile of a park","82.9","Percent People Living 1/2 Mile of a Park"
"2011","NH","New Hampshire","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","WY","Wyoming","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2013","WA","Washington","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2011","IA","Iowa","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2011","CO","Colorado","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2016","CT","Connecticut","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","8.1","Percent Sec Schools Allowing Sports Drink"
"2016","US","National","Physical Activity","State has adopted some form of a Complete Streets policy","32","Complete Streets Policy"
"2017","CO","Colorado","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2015","CO","Colorado","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2018","SD","South Dakota","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","4.9","Percent of BFHI births"
"2012","DE","Delaware","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2011","CT","Connecticut","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2019","NV","Nevada","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","15.9","Percent of BFHI births"
"2014","KY","Kentucky","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2017","US","National","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","6","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2017","UT","Utah","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","2.3","Percent of WIC Farmers Markets"
"2017","AK","Alaska","Fruits and Vegetables","Number of farmers markets per 100,000 residents","5.3","Farmers Market Count"
"2012","WA","Washington","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
